"English","Danish","Dutch","Finnish","French","German","Indonesian","Italian","Japanese","Latin","Norwegian","Portugese","Spanish","Swahili","Swedish"
"next","derpå, næst, derefter","naast, eerstkomend","sitten, läheinen","puis, proche, ensuite, prochaine","nächstes, nächstes, nächste, nächste","-","prossimo, venturo","tsugi, nekusuto, ji, akuru, shi, tsuide","postea","bak","em seguida","próximo, entrante, projimo, siguiente","-","härnäst, instundande, nästa"
"nice","behagelig, god","genoeglijk, behaaglijk, aangenaam","miellyttävä, hyvä","agréable, bon","nett","-","simpatico, buono, gentile, placevole, caro","kekkou, yoi, konomashii, naisu, sensai, ni-su","bonus","god","agradável, bom","agradable, bueno, gentil, bello, simpatico, rico","zuri, ema","god, gemytlig, skön, trevlig, vacker, rar, snäll"
"night","nat","nacht","yö","nuit","Nacht","-","notturno","yabun, yoru, naito","nox","natt","noite","noche","usiku","natt"
"nine","ni","negen","yhdeksän","neuf","neun","sembilan","nove","kokonotsu, kyuu, ku, nain","novem","ni","nove","nueve","kenda, tisa","nio"
"nineteen","nitten","negentien","yhdeksäntoista","dix neuf, dix-neuf","neunzehn","-","diciannove","juukyuu","undeviginti","nitten","dezenove, dazanove","diecinueve","kumi na kenda, kumi na tisa","nitton"
"no","-","neen, geen, nee, niet","ei","non, pas, surtout pas, ne nulle","nicht, nein, kein, nein","tidak","no, non di uno, non, nessuno, non uno","nain, hi, iya","-","ikke, ne","não, No.","no, ninguna","la","nej, ingen"
"north","nord","noorden","pohjoinen","nord","Norden, Nord, Norden, nördlich","-","bòrea","hoku","-","nord","norte","norte","kaskazini","norr, nord"
"nose","næse","neus","nenä","nez","Nase","hidung","fiuto","hana","nasus","nese, nese","nariz","nariz","-","nos, näsa"
"note","billet","plaatsbewijs, biljet, kaartje","muistiinpano, lippu","nota, annotent, notez, mention, billet, noter","Notiz {f}, Notiz, Anmerkung {f}, Anmerkung {f}","karcis","notazione, appunto, notabene, ordito","bunsho, oboegaki, hitofushi, tebikae, gochou, fuki","-","billett","bilhete, nota","billete, cedula, nota, apuntar, anotar, apuntacion","-","biljett, ton, anteckna, notera, not"
"novel","ny","nieuw, opkomend","uusi","roman, nouveau","neuartig, Roman, neu","-","romanzo","meatarashii, shinki, shousetsu, noberu","Romanus, novus","ny","novela, novo","novela, nuevo","pya","roman"
"November","november","november, slachtmaand","marraskuu","novembre","November","Nopember","novembre","juuichigatsu","-","november","Novembro","noviembre","Novemba","november"
"now","nu, nå","enfin, komaan, nou, nu, wel, tja","no, nyt","maintenant","nun, nun, jetzt, eben, jetzt","-","attualmente, ebbene","mohaya, iza, sate, mokka, dore, ima, imasara, kon","nunc","nå","pois, agora, ora","actualmente, ahora","sasa, je","nu"
"number","antal, nummer, tal","aantal, getal, tal","numero","numéral, numérotent, numéroter, numérotez, nombre","numerieren, Zahl, Anzahl {f}, Nummer, Nummer","-","novero, numerare, numero, numero","nanba-, gou, kazu, bangou, suu, taka, nonburu","-","nummer","número","número, número, numero, cifra, numero","hesabu","nummer, antal, tal"
"nurse","sygeplejerske, se after, pleje","verzorgen, zorgen voor, verplegen","hoitaa","infirmière, nourrice, soigner","pflegen, Krankenschwester, stillen, großziehen","jururawat","allattamento, coltivare, badare","togi, kanbyounin, na-su, kangoshi","-","sykepleierske","enfermeira","enfermera, acostumbrar","mlezi","sköta, sköterska, barnsköterska, sjuksköterska"
"oats","havre","haver","kaura","avoine","Hafer","-","avena, biada","enbaku, karasumugi","avena","havre","aveia","avena","-","havre"
"object","ting","mikpunt, onderwerp, object, ding","esine","objet, dgssein","Gegenstand, Gegenstand, Zweck, Maschinen","benda","traguardo, oggetto","mono, obuje, ate, buttai, obujekuto, tai, shushi","-","ting","objecto, objeto","meta, objecto, finalidad","kitu","objekt, invända, ting, föremål, tingest"
"October","oktober","wijnmaand, oktober","lokakuu","octobre","Oktober","Oktober","ottobre","juugatsu","-","oktober","Outubro","octubre","Oktoba","oktober"
"office","kontor, embede","kantoor","virka","charge, bureau, fonction, emploi","Büro, Büro {n}, Amt {n}, Firmensitz","-","ufficio, impiego","ninmu, jigyousho, jimusho, ofisu, hikkoshi, ishi","-","kontor","escritório","alcaldia, buro, oficina","afisi","byrå, tjänst, kontor, ämbete"
"offset","afstand","afstand, eind","etäisyys","bifurquer, distance, décrochement, surgeon, décalé","abzweigen, bleibende Regelabweichung","-","compromesso","ofusetto, katayori","-","avstand","distância","bifurcarse, distancia, compensacion","mwendo","telning"
"often","ofte","menigmaal, dikwijls, vaak, gedurig","usein","souvent","oft, oft, oftmals","-","spesso","ouou, kanegane, chokuchoku, tabitabi, shibashiba","sæpe","-","frequentemente","a menudo, muchas veces","mara nyingi","ofta"
"oil","olie","olie","öljy","huile","öl","minyak","oleato","sekiyu, abura, oiru","-","olje","óleo, azeite","aceite, el aceite","mafuta","smörja, olja"
"one","et, en","men","yksi","une, on","eins, eine","satu","uno, una","ichi, ikko, bou, hitotsu, wan, issun","unus, una, unum","en","um, uma","uno","moja, moja, mosi","man, en"
"onion","løg","ajuin, ui","sipuli","oignon","Zwiebel","bawang","cipolla","onion, tamanegi, kyuukei","cæpa, bulbus","løk","cebola","cebolla","kitunguu","lök"
"only","alene, kun","pas, enkel, alleen, slechts, maar","yksin, vain","seul, ne que, seulement, un à un","einzig, nur, nur","sendiri","singolo, solo, soltanto, unico","bakari, wazuka, sokosoko, yuiitsu, nisuginai, onri","solum, solus","alene","somente, só","singular, sólo, sólo, solamente, solo, unico","tu","blott, enda, bara, endast"
"outside","ydre, udenfor","buiten","ulkopuolella","dehors, extérieur, en dehors de","außerhalb, außerhalb, außer, draußen, außen","-","al di fuori, al di fuori di","uwabe, sotogawa, hyoumen, gaiteki, soto, gaisoku","extra","utenfor","fora","afuera, fuera, fuera de, exterior, externo","nje","yttersida, utanför, yttre, utsida, utom, utanpå"
"pail","spand","emmer","ämpäri","seau","Eimer","ember","secchio","baketsu","situla","-","balde","cubo, balde","-","hink, ämbar"
"palace","-","paleis","-","palais","Palast","mahligai","palazzo","kyuuden, goten, tamadare, koukyuu, dendou, paresu","aula","slott","palácio","palacio","jumba","slott, palats"
"pale","bleg","verbleekt","kalpea","pâle, hâve","blaß","pucat","pallido, scolorito","aoi, aojiroi, awai","-","blek","pálido","pálido, descolorido","-","blek"
"pants","bukser","lange broek, pantalon, broek","housut","pantalon, cache sexe","Hose, Unterhose","celana","mutande","-","bracæ","benklær, bukser","calças","pantalón","-","kalsonger"
"paper","papir","bescheid, document, papier, akte","paperi","document, papier","Schriftstück, Zeitung, Papier, Papier","-","documento, carta, gazzetta","kami, ronbun, repo-to, pe-pa-","biblus, papyrus, charta","papir, dokument","papel","ponencia, documento, papel, escrito, gaceta","karatasi","papper"
"parsley","persille","peterselie","persilja","persil","Petersilie","-","prezzemolo","paseri","petroselinum","persille","salsa","perejil","-","persilja"
"part","rolle, del","deel, stuk, onderdeel, gedeelte","osa","contingent, portion, partie, rôle, part","Teil, trennen, Rolle","-","sezione","ichibu, bu, bubun, pa-to, yakuwari, gawa, bun, bu","pars","del","parte","parte","kipande, sehemu","skilja, skiljas, parti, part, del, roll, stycke"
"path","sti","pad, paadje","polku","sentier","Zweig, Pfad, Pfad","-","viale, sentiero","keiro, pasu, toorimichi, michisuji, komichi","-","sti","caminho, trajeto","sendero, senda","njia","väg, stig, bana"
"paw","pote, fod, ben","poot, onderbeen, been","jalka, sääri","patte, pied","Pfote","-","zampa, gamba","-","pes, crus","ben, fot","pé","pata, pie","mguu","tass"
"pay","betale","storten, uitbetalen, betalen, dokken","maksaa","payent, payez, faire un versement, payer, payons","bezahle, bezahlen, bezahlen","bayar ... membayar","stipendio, liquidare, pagare","kouchin, pei, kyuufu, houkyuu, houroku","-","betale","pagamento, pagar","pagar, acreditar","-","betala, avlöna, avlöna, erlägga"
"peace","fred","vrede","rauha","paix","Stück, Stück, Frieden, Friede","damai","pesca, pace, pace","kyuui, pi-su, yasuragi, itsu, annon, tetsu, enman","pax","fred","paz","paz","-","frid, fred"
"pencil","blyant","potlood","lyijykynä","crayon","Bleistift","-","lapis","enpitsu","-","blyant","lápis","lápiz, lapiz","kalamu","pensel, penna (blyerts-), blyertspenna"
"people","folk","lieden, volk, lui, mensen","kansa","peuple, gens","Volk, leute, Menschen","-","volgo, persone, gente","minshuu, tamikusa, minzoku, minzoku, ninnin, jin","populus","folk","povo, povos","gente, pueblo","watu","man, folk"
"pepper","peber","peperen","pippuri","poivre, poivrier","Pfeffer","merica","pepe","peppa-, koshou, pepa-","-","pepper","pimenta","pimienta","-","peppar"
"perform","gøre, servere, udføre, forestille","opdraven, opdagen","tulla näkyviin, esittää, tehdä","construire, faire, effectuons, effectuer, réaliser","funktionieren, vollbringen, aufführen","masuk","spingere, effettuare, apparire, cómpiere","-","apparere, comparere","gjøre","aparecer, apresentar, fazer, execute","exportar, hacer, ejecutar, consumar, entrar","-","uppfylla, uppföra, uppträda, utföra, förrätta"
"perhaps","måske","mogelijkerwijs, misschien, mogelijk","-","peut-être","etwa, vielleicht, vielleicht","boleh jadi, mungkin","forse, chissà","moshikasuruto, osoraku, kedashi, moshikashite","fortasse","kanskje","acaso, talvez","quizá, quizás, a lo mejor","labda","kanske"
"peril","fare","onraad, nood, perikel, gevaar","vaara","danger","Risiko, riskieren, Gefahr","bahaya","pericolo","kichi, kinan, kiken","periculum","fare","perigo","peligro","hatari","våda, fara"
"picture","figur, billede","beeld, prent, afbeelding, plaat","kuva","figure, image","Abbildung, Bild, Bild, Gemälde, Darstellung","lukisan","dipinto, accettazione","jinbutsuzou, gamen, kaiga, pikucha-, zou, e, gazou","-","bilde, maleri","retrato, quadro","grabado, ingreso, imagen","-","porträtt, bild, målning, tavla"
"piece","del, brud, brudstykke, stykke","fragment, brok","pala, osa","fragment, morceau, contingent, part, partie, pièce","Bruchstück, Stück, Bruchstück, Stück","-","porzione, pezzo","pi-su, kire, gofukumono","pars","del","parte","parte, pedazo, pieza, porcion, tela","sehemu, kipande","stycke, pjäs, lapp"
"pig","svin","zwijn, varken","sika","cochon","Schwein","babi","maiale, porco","buta","porcus, porca","svin, gris","porco","chancho, cerdo","nguruwe","gris"
"pigeon","due","duif, tamme duif","kyyhkynen","sourde, pigeon, colombe","Taube","-","colomba, piccione","hato","columba, palumbes","due","pombo","paloma, pichón","-","duva"
"pipe","rør, pibe","pijp, tabakspijp","piippu, putki","pipe, tuyau, tube","Röhre, Pfeife, Weiterleitung","pipa","fischietto, tubo","kuda, tsutsu, kan, paipu, fue","-","rør","cachimbo, tubulação","pipa, cana, cañería","kiko","avloppsrör, rör, pipa"
"place","plads, lægge, sætte, sted, stille","plaats, oord, lokaal, plek","panna, huone, paikka","astro, endroit, déstination, plaçons, placez","Platz, unterbringen, Platz, stellen, Ort","-","mettere, spazio, ente, mettere, posto","ichi, yochi, tou, basho, tokoro, pure-su, kasho","-","plass","meter, por, local, lugar, sítio, colocar","sentar, meter, sitio","mahali","plats, anbringa, ställe, placera, ställa, sätta"
"plain","tydelig, slette, klar","vlakte","selvä","unie, net, plaine","Ebene, vollständige","nyata","pianura, piano, modesto","taira, akiraka, jimi, purein, heigen, jimi, heii","campus","klar","planície, claro","llanura, llano, llana","-","simpel, fält, slätt, tydlig"
"plan","plan, planlægge, hensigt, planere","strekking, bedoeling, plan, doel","suunnitella","planifier, planifions, intention, esquisser","Plan, planen, Entwurf","maksud","progetto, progettare","tsumori, kouan, hakarigoto, tehazu, omoitsuki, kei","-","bykart","planta","propósito, planificar, diseño, plan","shauri","plan, planera, utkast"
"plane","høvl, flyvemaskine, plan","vliegtuig, vliegmachine","lentokone","projet, avion, rabot","Hobel","pesawat terbang","aeroplano, velivolo, progetto","rajikon, pure-n, saku, heimen","-","fly, bykart","plano, plaina, avião","avión, aeroplano, propósito","shauri","plan, hyvla, hyvel"
"please","behage, vær så god at","alsjeblieft, wees zo goed, alstublieft","miellyttää","plaisent, plaire, plaisons, plais, plaisez","Bitte, erfreuen, bitte, gefallen","-","favore, per cortesìa","nanitozo, douzo, nanibun, choudai","delectare, placere","vær så god","por favor, agradar","por favor, agradar, gustar, ruego","tafadhali","behaga"
"pocket","lomme","zak","tasku","empochez, fouille, empochent, poche, travée","fach, Ablagefach {n}, Tasche {f}","saku","tasca, casella","pojetto, poketto","-","lomme","algibeira, bolso","casilla, bolsillo","-","ficka"
"pole","polak","Pool","puolalainen","pôle, poteau, pieu, Gaule, pole","Pfahl","-","Polacco","bou, sao, po-ru","-","stang","pólo","bache, poste, polo","mti","påle"
"poor","dårlig, ond, fattig, slet","erbarmelijk, beklagenswaardig","kurja","pauvre, maigre","arm, arm, armselig, dürftig, armselig","-","umile, povero","hosoboso, heta, mazushii, pua, toboshii, kasuka","malus","stakkars, fattig, dårlig","mau, pobre","pobre","hafifu, baya, maskini","torftig, dålig, fattig"
"pork","svinekød","varkensvlees","sianliha","porc","Schweinefleisch, Schwein","daging babi","-","butaniku, po-ku","porcina","svinekjøtt","carne de porco","carne de cerdo","-","griskött, fläsk"
"port","havn","haven","satama","connexion","port, Anschluß {m}, Hafen","-","porto, coincidenza","kaikou, po-to, minato","portus","havn","porto","puerto","-","hamn, babord, hamnstad"
"possibly","måske","misschien, mogelijkerwijs, mogelijk","-","peut-être","möglicherweise","mungkin, boleh jadi","forse","hyotto, moshikashite, kamoshirenai, aruiha","fortasse","kanskje","acaso, possivelmente, talvez","quizás, posiblemente","labda","möjligen"
"post","embede","aanplakken","virka, posti","fonction, coller, pal, emploi, pieu, afficher","Post, Posten, dahinter/Post, aufstellen","-","palo, stanga, cassetta postale, obiettare, posta","hari, yakushoku, bin, chuutonjo, hashira, tonsho","-","post","borne, correio","empleo, buzon, correo, poner una nota, poste","mti","stolpe, befattning, post"
"potato","kartoffel","pieper, aardappel","peruna","pomme-de-terre, pomme de terre","Kartoffel","kentang","patata","poteto, jagaimo, imo","-","potet","batata","patata","kiazi","potatis"
"present","nærværende, gave, udføre, servere, forestille","tegenwoordig, actueel","esittää, lahja","présenter, présentez, présente, présent, offrir","Präsent, präsentieren, anwesend, Geschenk","pemberian","presenza, presente, presente, mettere avanti","okurimono, touza, tsukaimono, kyuufu, purezento","-","presang, gave","apresentar, presente","regalo, actual, presente, contemporáneo","-","presens, gåva, framföra, present, skänka, uppvisa"
"price","pris","prijs","hinta","tarifaire","bereits, Preis","-","tariffa, costo","neuchi, nedan, atai, ne, puraisu, ko, ka, kakaku","pretium","pris","preço","precio, costo, arancel","-","pris"
"profit","profitere","verdienste, baat, winst, gewin","hyötyä","bénéficient, bénéficions, profit, bénéficiez","Nutzen, Gewinn","-","guadagno, profitto, guadagnare","rijun, ri, toku, wari, eki, saisan, ekikin, uruoi","-","gagn","lucro","ganancia, lucro, beneficio, ganar, provecho","faida","förtjänst, vinst, behållning, fördel, vinning"
"property","bondegård, ejendom, egenskab","landgoed, boerderij, bezitting","laatu, ominaisuus, maatila","bien, qualité, domaine, propriété, biens","Eigentum, Besitz, Eigenschaft","-","possesso, fattoria, proprietà","zaisan, puropati, saga, shoyuubutsu, seishitsu","villa, vicus","gård, kvalitet, eiendom","fazenda, granja, propriedade","tenencia, granja, finca, pertenencia, calidad","-","gods, egenskap, ägodel, egendom"
